Order_ID,Order_Date,Product,Quantity,Unit_Price,City
100388,2025-06-26,iPhone 13 Case,5,500,Eldoret
100389,,Earbuds,2,800,Eldoret
100390,,Samsung A16 Case,1,800,Nairobi
100391,2025-12-27,Charger,1,800,Eldoret
100392,2025-04-28,Screen Protector,4,1200,Nairobi
100393,2025-12-26,Charger,1,200,Nakuru
100394,2025-08-12,Infinix Hot 40 Case,5,2500,Nairobi
100395,2025-08-03,Redmi Note 14 Case,3,500,Kisumu
100396,2025-07-30,Tecno Spark 20 Case,5,200,Nakuru
100397,2025-10-13,Tecno Spark 20 Case,3,300,Nakuru
100398,2025-09-14,iPhone 13 Case,3,300,Nairobi
100399,2025-07-13,Samsung A16 Case,4,200,Nairobi
100400,2025-04-24,Infinix Hot 40 Case,3,800,Nakuru
100401,2025-09-21,Samsung A35 Case,5,500,Nairobi
100402,2025-10-15,Earbuds,2,300,Kisumu
100403,2025-06-11,Power Bank,4,200,Nakuru
100404,2025-03-28,Earbuds,4,300,Nairobi
100405,2025-12-15,Samsung A35 Case,1,200,Eldoret
100406,2025-09-04,iPhone 13 Case,3,500,Mombasa
100407,2025-09-12,Screen Protector,5,2500,Nairobi
100408,2025-09-06,Tecno Spark 20 Case,5,500,Mombasa
100409,2025-02-20,Power Bank,1,800,Mombasa
100410,2025-09-21,iPhone 13 Case,2,500,Kisumu
100411,2025-04-06,Infinix Hot 40 Case,3,800,Kisumu
100412,2025-06-14,Infinix Hot 40 Case,5,2500,Kisumu
100413,2025-08-11,Earbuds,2,300,Nakuru
100414,2025-09-20,Charger,1,1200,Nakuru
100415,2025-05-27,Redmi Note 14 Case,5,500,Eldoret
100416,2025-02-05,iPhone 13 Case,5,800,Mombasa
100417,2025-03-23,Samsung A16 Case,2,200,Nairobi
100418,2025-10-30,Samsung A16 Case,5,800,Mombasa
100419,2025-01-11,iPhone 13 Case,2,300,Nairobi
100420,2025-07-14,iPhone 13 Case,4,800,Nairobi
100421,2025-09-18,Power Bank,5,2500,Nakuru
100422,2025-09-13,Samsung A35 Case,1,300,Kisumu
100423,2025-02-22,Tecno Spark 20 Case,4,500,Nairobi
100424,2025-12-08,Tecno Spark 20 Case,4,200,Mombasa
100425,2025-07-21,Earbuds,3,2500,Nakuru
100426,2025-08-03,Power Bank,1,300,Eldoret
100427,2025-04-25,Redmi Note 14 Case,1,2500,Mombasa
100428,2025-01-09,iphone 13 case,2,1200,Nairobi
100429,2025-10-08,Screen Protector,1,2500,Kisumu
100430,2025-10-05,Samsung A16 Case,3,2500,Eldoret
100431,2025-01-04,Charger,2,300,Mombasa
100432,2025-01-29,Samsung A16 Case,5,300,Eldoret
100433,2025-08-03,Redmi Note 14 Case,5,500,Nakuru
100434,2025-11-22,Screen Protector,2,1200,Kisumu
100435,2025-02-11,Samsung A35 Case,4,200,Mombasa
100436,2025-02-03,Charger,1,1200,Mombasa
100437,2025-06-02,Power Bank,2,800,Eldoret
100438,2025-03-28,Infinix Hot 40 Case,two,300,Mombasa
100439,,Infinix Hot 40 Case,5,500,Kisumu
100440,2025-11-09,Samsung A16 Case,3,300,Eldoret
100441,2025-09-25,Charger,5,200,Mombasa
100442,2025-11-05,Earbuds,2,1200,Kisumu
100443,2025-07-09,Tecno Spark 20 Case,2,2500,Mombasa
100444,2025-03-05,Charger,2,800,Nakuru
100445,2025-11-06,Earbuds,3,200,Mombasa
100446,2025-11-03,Earbuds,5,800,Nairobi
100447,2025-10-09,Samsung A35 Case,5,1200,Eldoret
100448,,Samsung A16 Case,3,800,Kisumu
100449,2025-04-23,Charger,3,500,Eldoret
100450,2025-11-06,Infinix Hot 40 Case,2,2500,Eldoret
100451,2025-03-10,Samsung A16 Case,1,300,Kisumu
100452,2025-02-05,iPhone 13 Case,4,500,Kisumu
100453,2025-08-15,Samsung A16 Case,4,500,Eldoret
100454,2025-12-03,Earbuds,3,1200,Kisumu
100455,2025-07-20,Screen Protector,2,300,Mombasa
100456,2025-03-14,Earbuds,1,200,Eldoret
100457,2025-05-09,Charger,1,1200,Mombasa
100458,2025-04-14,Redmi Note 14 Case,2,200,Nairobi
100459,2025-02-08,Samsung A16 Case,3,500,Kisumu
100460,2025-08-17,Redmi Note 14 Case,4,800,Mombasa
100461,2025-04-12,iPhone 13 Case,2,800,Eldoret
100462,2025-10-02,Samsung A35 Case,5,800,Kisumu
100463,2025-11-01,Infinix Hot 40 Case,5,200,Nakuru
100464,2025-11-26,Power Bank,1,200,Nakuru
100465,2025-10-30,iPhone 13 Case,4,2500,Mombasa
100466,2025-03-21,Tecno Spark 20 Case,3,1200,Mombasa
100467,2025-03-22,Redmi Note 14 Case,5,2500,Eldoret
100468,2025-07-17,Redmi Note 14 Case,1,300,Eldoret
100469,2025-03-30,iPhone 13 Case,4,500,Mombasa
100470,2025-12-31,Samsung A35 Case,2,300,Eldoret
